time,value
2025-05-19T08:15:53.270180655Z,Motion Detected.
2025-05-19T08:15:57.270441025Z,No Motion Detected.
2025-05-19T08:15:59.710615315Z,Motion Detected.
2025-05-19T08:16:02.250141394Z,No Motion Detected.
2025-05-19T08:16:14.750165254Z,Motion Detected.
2025-05-19T08:16:19.790162327Z,No Motion Detected.
2025-05-19T08:16:23.790291583Z,Motion Detected.
2025-05-19T08:16:31.270647176Z,No Motion Detected.
2025-05-19T08:16:43.245567015Z,Motion Detected.
2025-05-19T08:16:51.300374702Z,No Motion Detected.
2025-05-19T08:16:53.290472104Z,Motion Detected.
2025-05-19T08:16:57.254615965Z,No Motion Detected.
2025-05-19T08:17:03.320081671Z,Motion Detected.
2025-05-19T08:17:05.852615664Z,No Motion Detected.
2025-05-19T08:17:10.819932942Z,Motion Detected.
2025-05-19T08:17:16.811408999Z,No Motion Detected.
2025-05-19T08:17:19.325035296Z,Motion Detected.
2025-05-19T08:17:27.291065482Z,No Motion Detected.
2025-05-19T08:17:29.349984243Z,Motion Detected.
2025-05-19T08:18:26.850646549Z,No Motion Detected.
2025-05-19T08:21:17.356514035Z,Motion Detected.
2025-05-19T08:21:22.405020086Z,No Motion Detected.
2025-05-19T08:21:26.855270941Z,Motion Detected.
2025-05-19T08:21:29.915065656Z,No Motion Detected.
2025-05-19T08:21:51.375322859Z,Motion Detected.
2025-05-19T08:21:56.856045106Z,No Motion Detected.
2025-05-19T08:22:08.38453655Z,Motion Detected.
2025-05-19T08:22:11.044105775Z,No Motion Detected.
2025-05-19T08:22:15.393987481Z,Motion Detected.
2025-05-19T08:22:19.874591904Z,No Motion Detected.
2025-05-19T08:23:18.85131594Z,Motion Detected.
2025-05-19T08:23:22.885353262Z,No Motion Detected.
2025-05-19T08:25:16.849785504Z,Motion Detected.
2025-05-19T08:25:20.885432261Z,No Motion Detected.
2025-05-19T08:29:03.452312378Z,Motion Detected.
2025-05-19T08:29:10.835411556Z,No Motion Detected.
2025-05-19T08:29:27.905405Z,Motion Detected.
2025-05-19T08:29:33.405490003Z,No Motion Detected.
2025-05-19T08:29:35.436161703Z,Motion Detected.
2025-05-19T08:29:38.415479471Z,No Motion Detected.
2025-05-19T08:30:21.425785361Z,Motion Detected.
2025-05-19T08:30:24.464942732Z,No Motion Detected.
2025-05-19T08:31:36.496314862Z,Motion Detected.
2025-05-19T08:31:41.522748581Z,No Motion Detected.
2025-05-19T08:31:44.975875707Z,Motion Detected.
2025-05-19T08:31:48.510888674Z,No Motion Detected.
2025-05-19T08:31:50.945083145Z,Motion Detected.
2025-05-19T08:31:56.465880823Z,No Motion Detected.
2025-05-19T08:32:29.017441835Z,Motion Detected.
2025-05-19T08:32:37.5253319Z,No Motion Detected.
2025-05-19T08:32:39.505784597Z,Motion Detected.
2025-05-19T08:32:42.448102015Z,No Motion Detected.
2025-05-19T08:32:47.99578084Z,Motion Detected.
2025-05-19T08:32:52.025435473Z,No Motion Detected.
2025-05-19T08:32:55.585436112Z,Motion Detected.
2025-05-19T08:33:00.485455805Z,No Motion Detected.
2025-05-19T08:33:07.656400691Z,Motion Detected.
2025-05-19T08:33:09.985660221Z,No Motion Detected.
2025-05-19T08:33:18.527227663Z,Motion Detected.
2025-05-19T08:33:21.485167093Z,No Motion Detected.
2025-05-19T08:33:33.145626095Z,Motion Detected.
2025-05-19T08:33:36.525282591Z,No Motion Detected.
2025-05-19T08:34:12.091597675Z,Motion Detected.
2025-05-19T08:34:15.539960285Z,No Motion Detected.
2025-05-19T08:34:17.526481071Z,Motion Detected.
2025-05-19T08:34:25.065451054Z,No Motion Detected.
2025-05-19T08:34:36.565133962Z,Motion Detected.
2025-05-19T08:34:41.035928431Z,No Motion Detected.
2025-05-19T08:34:43.045245722Z,Motion Detected.
2025-05-19T08:34:46.056006085Z,No Motion Detected.
2025-05-19T08:35:12.055579005Z,Motion Detected.
2025-05-19T08:35:20.046209406Z,No Motion Detected.
2025-05-19T08:35:23.045644975Z,Motion Detected.
2025-05-19T08:35:31.076019609Z,No Motion Detected.
2025-05-19T08:35:33.605393227Z,Motion Detected.
2025-05-19T08:35:38.545354181Z,No Motion Detected.
2025-05-19T08:35:46.060765916Z,Motion Detected.
2025-05-19T08:35:50.595158582Z,No Motion Detected.
2025-05-19T08:36:06.115829692Z,Motion Detected.
2025-05-19T08:36:11.585861481Z,No Motion Detected.
2025-05-19T08:36:35.065848711Z,Motion Detected.
2025-05-19T08:36:38.585473952Z,No Motion Detected.
2025-05-19T08:36:42.595222114Z,Motion Detected.
2025-05-19T08:36:45.575012649Z,No Motion Detected.
2025-05-19T08:37:01.235264716Z,Motion Detected.
2025-05-19T08:37:07.191442213Z,No Motion Detected.
2025-05-19T08:37:10.074900233Z,Motion Detected.
2025-05-19T08:37:21.606695439Z,No Motion Detected.
2025-05-19T08:37:23.590375072Z,Motion Detected.
2025-05-19T08:37:29.591247509Z,No Motion Detected.
2025-05-19T08:37:40.16575749Z,Motion Detected.
2025-05-19T08:37:43.125151223Z,No Motion Detected.
2025-05-19T08:37:45.625220864Z,Motion Detected.
2025-05-19T08:37:49.125575818Z,No Motion Detected.
2025-05-19T08:37:51.625145072Z,Motion Detected.
2025-05-19T08:37:55.845609499Z,No Motion Detected.
2025-05-19T08:38:09.126228941Z,Motion Detected.
2025-05-19T08:38:15.123173942Z,No Motion Detected.
2025-05-19T08:38:18.216011502Z,Motion Detected.
2025-05-19T08:38:21.635186072Z,No Motion Detected.
2025-05-19T08:38:24.165822292Z,Motion Detected.
2025-05-19T08:38:39.635360751Z,No Motion Detected.
2025-05-19T08:38:42.161191362Z,Motion Detected.
2025-05-19T08:38:52.186154875Z,No Motion Detected.
2025-05-19T08:38:54.645663505Z,Motion Detected.
2025-05-19T08:39:01.691141853Z,No Motion Detected.
2025-05-19T08:39:08.190232944Z,Motion Detected.
2025-05-19T08:39:23.170238157Z,No Motion Detected.
2025-05-19T08:39:26.175413976Z,Motion Detected.
2025-05-19T08:39:42.675486112Z,No Motion Detected.
2025-05-19T08:39:48.675623337Z,Motion Detected.
2025-05-19T08:39:52.73740402Z,No Motion Detected.
2025-05-19T08:41:22.343761164Z,No Motion Detected.
2025-05-19T08:42:03.803592077Z,Motion Detected.
2025-05-19T08:42:10.243268879Z,No Motion Detected.
2025-05-19T08:42:26.643491709Z,Motion Detected.
2025-05-19T08:42:27.132354559Z,No Motion Detected.
2025-05-19T08:43:15.967086219Z,
2025-05-19T08:43:15.968474102Z,
2025-05-19T08:43:25.323588689Z,
2025-05-19T08:43:25.822933056Z,No Motion Detected.
2025-05-19T08:43:31.803463367Z,Motion Detected.
2025-05-19T08:43:32.283181935Z,No Motion Detected.
2025-05-19T08:43:44.222947621Z,Motion Detected.
2025-05-19T08:43:44.703016931Z,No Motion Detected.
2025-05-19T08:44:07.123480459Z,Motion Detected.
2025-05-19T08:44:07.643630261Z,No Motion Detected.
2025-05-19T08:50:27.823823203Z,No Motion Detected.
2025-05-19T08:51:25.987093854Z,No Motion Detected.
2025-05-19T08:52:10.727163534Z,Motion Detected.
2025-05-19T08:53:51.94531782Z,Motion Detected.
2025-05-19T08:53:55.113567454Z,No Motion Detected.
2025-05-19T08:55:05.454393686Z,No Motion Detected.
2025-05-19T08:55:11.88442052Z,Motion Detected.
2025-05-19T08:55:40.809282624Z,No Motion Detected.
2025-05-19T08:56:03.364062942Z,Motion Detected.
2025-05-19T08:56:06.539197675Z,No Motion Detected.
2025-05-19T08:56:16.254009645Z,Motion Detected.
2025-05-19T08:56:29.114660146Z,No Motion Detected.
2025-05-19T08:57:10.99458042Z,Motion Detected.
2025-05-19T08:57:14.26394228Z,No Motion Detected.
2025-05-19T08:59:32.005459639Z,No Motion Detected.
2025-05-19T09:03:59.873106316Z,Motion Detected.
2025-05-19T09:04:35.302632278Z,No Motion Detected.
2025-05-19T09:04:55.528900747Z,Motion Detected.
2025-05-19T09:05:23.272685792Z,No Motion Detected.
2025-05-19T09:05:23.554191838Z,Motion Detected.
2025-05-19T09:06:34.26837Z,No Motion Detected.
2025-05-19T09:06:37.479531023Z,Motion Detected.
2025-05-19T09:12:11.524193918Z,Motion Detected.
2025-05-19T09:12:14.6934579Z,No Motion Detected.
2025-05-19T09:13:06.144827854Z,Motion Detected.
2025-05-19T09:13:25.463950134Z,No Motion Detected.
2025-05-19T09:13:28.664109914Z,Motion Detected.
2025-05-19T09:13:41.543649116Z,No Motion Detected.
2025-05-19T09:13:54.403475209Z,Motion Detected.
2025-05-19T09:16:18.350341815Z,Hi
2025-05-19T09:16:19.078777097Z,Hi
2025-05-19T09:16:22.323698989Z,Motion Detected.
2025-05-19T09:17:10.303438837Z,Motion Detected.
2025-05-19T09:18:44.763440251Z,What
2025-05-19T09:18:58.323717814Z,What
2025-05-19T09:18:58.819267411Z,Motion Detected.
2025-05-19T09:25:00.378522831Z,No Motion Detected.
2025-05-19T09:26:56.818889948Z,No Motion Detected.
2025-05-19T09:26:57.318575393Z,Motion Detected.
2025-05-19T09:27:54.678671276Z,Motion Detected.
2025-05-19T09:28:02.113565742Z,No Motion Detected.
2025-05-19T09:28:14.475850353Z,Motion Detected.
2025-05-19T09:28:24.964093205Z,No Motion Detected.
2025-05-19T09:29:18.808976263Z,Motion Detected.
2025-05-19T09:29:27.739267774Z,No Motion Detected.
2025-05-19T09:29:34.183630746Z,Motion Detected.
2025-05-19T09:29:42.603494058Z,No Motion Detected.
2025-05-19T09:31:15.588630434Z,No Motion Detected.
2025-05-19T09:32:18.983665497Z,No Motion Detected.
2025-05-19T09:32:19.52448639Z,Motion Detected.
2025-05-19T09:32:26.423377292Z,No Motion Detected.
2025-05-19T09:32:26.943737166Z,Motion Detected.
2025-05-19T09:32:36.853876335Z,No Motion Detected.
2025-05-19T09:35:32.81363191Z,No Motion Detected.
2025-05-19T09:35:33.333078881Z,Motion Detected.
2025-05-19T09:35:40.243090495Z,No Motion Detected.
2025-05-19T09:36:16.638591622Z,No Motion Detected.
2025-05-19T09:36:23.078577889Z,Motion Detected.
2025-05-19T09:36:29.023360603Z,No Motion Detected.
2025-05-19T09:37:05.103467529Z,Motion Detected.
2025-05-19T09:37:14.023021984Z,No Motion Detected.
2025-05-19T09:38:44.308574909Z,No Motion Detected.
2025-05-19T09:38:50.794459845Z,Motion Detected.
2025-05-19T09:39:00.16386063Z,No Motion Detected.
2025-05-19T09:39:30.315014909Z,Motion Detected.
2025-05-19T09:39:38.748326083Z,No Motion Detected.
2025-05-19T09:39:39.258262276Z,Motion Detected.
2025-05-19T09:39:45.183136999Z,No Motion Detected.
2025-05-19T09:39:45.693715391Z,Motion Detected.
2025-05-19T09:39:54.343950817Z,No Motion Detected.
2025-05-19T09:39:54.624995672Z,Motion Detected.
2025-05-19T09:40:09.563139216Z,No Motion Detected.
2025-05-19T09:40:10.052943295Z,Motion Detected.
2025-05-19T09:40:16.493529494Z,No Motion Detected.
2025-05-19T09:44:45.587045071Z,No Motion Detected.
2025-05-19T09:44:53.277360793Z,Motion Detected.
2025-05-19T09:45:09.787322396Z,No Motion Detected.
2025-05-19T09:45:41.502700909Z,Motion Detected.
2025-05-19T09:46:43.284057566Z,Motion Detected.
2025-05-19T09:46:46.978783676Z,No Motion Detected.
2025-05-19T09:48:51.446386887Z,No Motion Detected.
2025-05-19T09:49:02.13146038Z,Motion Detected.
2025-05-19T09:49:05.831946491Z,No Motion Detected.
2025-05-19T09:49:13.581078943Z,Motion Detected.
2025-05-19T09:49:14.056647225Z,No Motion Detected.
2025-05-19T09:49:17.423034476Z,Motion Detected.
2025-05-19T09:49:17.776249118Z,No Motion Detected.
2025-05-19T09:49:47.290362031Z,No Motion Detected.
2025-05-19T09:50:00.045359244Z,Motion Detected.
2025-05-19T09:50:03.750347846Z,No Motion Detected.
2025-05-19T09:50:09.955213383Z,Motion Detected.
